Year,Original Order,Also Runs,Prize,Game ID,Title,Event Type,Game System,Rules Edition,Age Required,Experience Required,Duration,Start Date & Time,Cost $,Group,GM Names,Location,Maximum Players,Short Description,Long Description,Minimum Players,Materials Provided,End Date & Time,Website,Email,Tournament?,Round Number,Total Rounds,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Rules Complexity
2004,1,,,BG00001,Zombies!!! Intro,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Newcomers (maturity preferred),2,2004-08-19 14:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,2,,,BG00002,Zombies!!! Intro,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Newcomers (maturity preferred),2,2004-08-20 11:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,3,,,BG00003,Zombies!!! Intro,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Newcomers (maturity preferred),2,2004-08-21 12:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,4,,,BG00004,Zombies!!! Intro,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Newcomers (maturity preferred),2,2004-08-22 12:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,5,,,BG00005,Zombies Advanced,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Some Experience Needed,2,2004-08-20 20:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,6,,,BG00006,Zombies Advanced,BG - Board Game,Zombies!!!,1st Edition,Teen (13+),Some Experience Needed,2,2004-08-21 20:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,7,,,BG00007,Zombies 4: The End,BG - Board Game,Zombies!!!,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-19 15:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,8,,,BG00008,Zombies 4: The End,BG - Board Game,Zombies!!!,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-20 12:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,9,,,BG00009,Zombies 4: The End,BG - Board Game,Zombies!!!,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-21 14:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,10,,,BG00010,When Darkness Comes,BG - Board Game,When Darkness Comes,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-20 10:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,11,,,BG00011,When Darkness Comes,BG - Board Game,When Darkness Comes,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-21 11:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,12,,,BG00012,When Darkness Comes,BG - Board Game,When Darkness Comes,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-22 11:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,13,,,BG00013,Dante's Inferno,BG - Board Game,Dante's Inferno,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-21 10:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,14,,,BG00014,Dante's Inferno,BG - Board Game,Dante's Inferno,Current,Teen (13+),Newcomers (maturity preferred),2,2004-08-22 10:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,15,,,BG00015,The Haunting House,BG - Board Game,The Haunting House,Current,Everyone (6+),Newcomers (maturity preferred),1,2004-08-19 15:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,16,,,BG00016,The Haunting House,BG - Board Game,The Haunting House,Current,Everyone (6+),Newcomers (maturity preferred),1,2004-08-20 10:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,17,,,BG00017,The Haunting House,BG - Board Game,The Haunting House,Current,Everyone (6+),Newcomers (maturity preferred),1,2004-08-21 13:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,18,,,BG00018,The Haunting House,BG - Board Game,The Haunting House,Current,Everyone (6+),Newcomers (maturity preferred),1,2004-08-22 12:00:00,1.5,Twilight Creations,Kerry Breitenstein,,12,,,,,,,,,,,,,,,,,,
2004,19,,,BG00019,All Wound Up:  Escape From The Cemetery,BG - Board Game,All Wound Up,Current,Everyone (6+),Newcomers (maturity preferred),2,2004-08-20 14:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,20,,,BG00020,All Wound Up:  Escape From The Cemetery,BG - Board Game,All Wound Up,Current,Everyone (6+),Newcomers (maturity preferred),2,2004-08-21 16:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,21,,,BG00021,All Wound Up:  Escape From The Cemetery,BG - Board Game,All Wound Up,Current,Everyone (6+),Newcomers (maturity preferred),2,2004-08-22 14:00:00,1.5,Twilight Creations,Kerry Breitenstein,,6,,,,,,,,,,,,,,,,,,
2004,22,,,BG00022,Up Front Tournament,BG - Board Game,Up Front,2nd Edition,Mature (18+),Expert Understanding of the System,8,2004-08-21 16:00:00,6,Independent,Alan Arvold,,16,,,,,,,,,,,,,,,,,,
2004,23,,,BG00023,Dune Tournament,BG - Board Game,Dune,Advanced,Mature (18+),Expert Understanding of the System,6,2004-08-19 12:00:00,4.5,Independent,Alan Arvold,,9,,,,,,,,,,,,,,,,,,
2004,24,,,BG00024,Dune Tournament,BG - Board Game,Dune,Advanced,Mature (18+),Expert Understanding of the System,6,2004-08-20 12:00:00,4.5,Independent,Alan Arvold,,9,,,,,,,,,,,,,,,,,,
2004,25,,,BG00025,Global Diplomacy,BG - Board Game,Diplomacy Variant,Global Variant,Teen (13+),Some Experience Needed,6,2004-08-22 10:00:00,4.5,Independent,John Armstrong,,12,,,,,,,,,,,,,,,,,,
2004,26,,,BG00026,Cosmic Encounter,BG - Board Game,Cosmic Encounter,Mayfair Edition,Teen (13+),Newcomers (maturity preferred),2,2004-08-22 08:00:00,1.5,Independent,Michael Miller,,12,,,,,,,,,,,,,,,,,,
